German,English
ich,I
sie,she
das,the
ist,is
du,you
die,the
es,it
und,and
der,the
wir,we
was,What
er,he
ein,a
in,in
ja,Yes
mit,with
wie,How
den,the
mich,me
auf,on
dass,that
aber,but
eine,one
so,so
hat,has
hier,here
haben,have
für,for
war,was
von,from
wenn,if
dich,you
ihr,her
nein,no
habe,have
an,to
bin,am
noch,still
da,there
dir,you
sich,itself
einen,a
uns,us
dem,dem
kann,can
gut,good
auch,also
schon,already
als,as
sein,be
mal,just
jetzt,now
ihn,him
dann,then
aus,out of
meine,mine
um,around
im,in the
mein,my
bist,are
doch,but
alles,everything
weiß,white
keine,no
oder,or
nach,after
nichts,nothing
man,man
muss,must
werden,become
will,wants
ihnen,them
geht,goes
wo,where
etwas,something
mehr,more
bei,at
also,so
bitte,please
warum,Why
vor,before
los,go
können,can
wieder,again
sagen,say
machen,make
danke,Thanks
sehr,very
alle,all
